StockCode,Description,total_revenue,total_units,num_orders
22423,REGENCY CAKESTAND 3 TIER,344563.25,27577.0,3918
85123A,WHITE HANGING HEART T-LIGHT HOLDER,262931.16,96086.0,5356
47566,PARTY BUNTING,149187.05,28378.0,2674
85099B,JUMBO BAG RED RETROSPOT,148823.92,78860.0,3245
84879,ASSORTED COLOUR BIRD ORNAMENT,132187.92,81809.0,2807
22086,PAPER CHAIN KIT 50'S CHRISTMAS,123141.54,36581.0,2018
79321,CHILLI LIGHTS,85489.91,16840.0,1135
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92,78033.0,247
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,74448.92,32525.0,756
21137,BLACK RECORD COVER FRAME,69329.47,19954.0,634
85099F,JUMBO BAG STRAWBERRY,68488.81,37124.0,1830
23084,RABBIT NIGHT LIGHT,66964.99,30788.0,994
22114,HOT WATER BOTTLE TEA AND SYMPATHY,63517.75,12462.0,1583
82484,WOOD BLACK BOARD ANT WHITE FINISH,62842.02,11054.0,1176
21931,JUMBO STORAGE BAG SUKI,62285.28,29503.0,2329
